TF	GC.pos	GC.neg	AUC.blocked	AUC.notblocked
CTCF	0.49399683	0.493883991	0.798141	0.944757
EBF1	0.501925694	0.468859586	0.882005	0.892479
SP1	0.605997166	0.491642069	0.954729	0.962353
PU1	0.44147233	0.40138423	0.823172	0.944836
RUNX3	0.449481251	0.406992794	0.899736	0.897765
NFYB	0.509410351	0.44352594	0.91519	0.920042
Nrf1	0.644897162	0.561265635	0.951713	0.956224
ELF1	0.574496252	0.433045694	0.971415	0.972581
NFKB	0.47553279	0.440387124	0.892354	0.91877
TCF3	0.536409583	0.459562171	0.935515	0.947136
Mxi1	0.598960684	0.481203783	0.956363	0.958797
USF1	0.53695918	0.443111914	0.934576	0.943205
YY1	0.521457198	0.427404084	0.930794	0.921934
USF2	0.524007169	0.441319675	0.937584	0.941287
ZEB1	0.579759012	0.470058473	0.954963	0.955143
PAX5	0.548820389	0.47459637	0.890385	0.914504
POU2F2	0.444716646	0.376973454	0.947515	0.949367
NRSF	0.532281319	0.481316453	0.813471	0.880422
PBX3	0.528226575	0.450571611	0.956157	0.944927
MEF2A	0.416247159	0.384505871	0.951894	0.948206
E2F4	0.626929163	0.544564994	0.955261	0.970034
BHLHE40	0.55222124	0.456758171	0.930933	0.944054
ELK1	0.593689686	0.462889774	0.963304	0.968037
NFIC	0.476018682	0.447291564	0.916696	0.91875
MEF2C	0.422570325	0.385902797	0.964726	0.971329
Max	0.548672906	0.420946279	0.968971	0.968081
SRF	0.468543249	0.404275946	0.838833	0.846671
Znf143	0.543576052	0.431965852	0.975424	0.992562
IRF4	0.43958595	0.388005484	0.896869	0.936422
ZBTB33	0.59445757	0.524799038	0.937021	0.947815
NFYA	0.591522282	0.436913399	0.990042	0.99333
ETS1	0.592550233	0.455810698	0.954144	0.963426
RFX5	0.54622324	0.464026519	0.954256	0.969089
STAT3	0.450885196	0.415534743	0.863537	0.898423
JunD	0.406518374	0.409332291	0.928897	0.906524
CEBPB	0.441660645	0.401409032	0.935268	0.945971
STAT1	0.527726027	0.405790217	0.977273	0.982143
FOS	0.498218317	0.406296703	0.9375	0.919643
