TF,auROC-all,auPRC-all,auROC-GC,auPRC-GC,auROC-GC-Dnase,auPRC-GC-DNase,pos-all,neg-all,total-all,pos-GC,neg-GC,total-GC,pos-GC-Dnase,neg-GC-Dnase,total-GC-Dnase
CTCF,0.944757,0.941665,0.944124,0.941106,0.964474,0.983592,57587,49952,107539,57587,49134,106721,20005,9100,29105
EBF1,0.892479,0.871238,0.885196,0.861192,0.758824,0.788322,30019,30019,60038,30019,30014,60033,9406,7859,17265
SP1,0.962353,0.961828,0.941213,0.930042,0.77696,0.796422,27806,27806,55612,27806,27806,55612,22181,22172,44353
PU1,0.944836,0.935878,0.92759,0.911149,0.857268,0.905184,25903,25901,51804,25903,25729,51632,5307,3592,8899
RUNX3,0.897765,0.884898,0.884866,0.86883,0.667078,0.923794,19138,19138,38276,19138,19136,38274,5528,1243,6771
NFYB,0.920042,0.915482,0.908751,0.899126,0.908702,0.94762,18935,18688,37623,18935,18310,37245,5286,2008,7294
NRF1,0.956224,0.947056,0.934889,0.917672,0.892597,0.912344,17210,16872,34082,17210,16514,33724,14809,11172,25981
ELF1,0.972581,0.968789,0.94053,0.935455,0.853519,0.915979,16901,16896,33797,16901,16807,33708,11278,6784,18062
NFKB,0.91877,0.892265,0.918014,0.895706,0.844204,0.861091,12504,12504,25008,12504,12502,25006,5680,4708,10388
TCF3,0.947136,0.927956,0.930564,0.913946,0.771652,0.760676,11646,11646,23292,11646,11646,23292,5588,5581,11169
MXI1,0.958797,0.955001,0.930638,0.908606,0.77982,0.773441,10680,10680,21360,10680,10672,21352,7557,6773,14330
USF1,0.943205,0.943454,0.920534,0.914788,0.865439,0.931101,10240,10240,20480,10240,9922,20162,4341,2462,6803
YY1,0.921934,0.920985,0.904529,0.898806,0.847512,0.929115,9941,9941,19882,9941,9399,19340,4647,1941,6588
USF2,0.941287,0.936192,0.938096,0.930468,0.891824,0.914496,8896,8896,17792,8896,8800,17696,5003,3360,8363
ZEB1,0.955143,0.94015,0.935457,0.915366,0.787942,0.721466,7046,7046,14092,7046,7046,14092,2536,2529,5065
PAX5,0.914504,0.914592,0.866145,0.856621,0.794496,0.751447,6926,6926,13852,6926,6923,13849,3424,3326,6750
POU2F2,0.949367,0.939633,0.907925,0.884529,0.689883,0.75596,5952,5952,11904,5952,5917,11869,1757,978,2735
NRSF,0.880422,0.88484,0.873414,0.870535,0.727083,0.759731,6306,5075,11381,6306,5027,11333,1567,1391,2958
PBX3,0.944927,0.937056,0.940536,0.935936,0.795844,0.787982,5482,5481,10963,5482,5460,10942,2827,2563,5390
MEF2A,0.948206,0.929015,0.96175,0.95638,0.760742,0.800477,5280,5280,10560,5280,5274,10554,1181,861,2042
E2F4,0.970034,0.954436,0.952714,0.928656,0.796771,0.770456,4955,4955,9910,4955,4955,9910,4318,4313,8631
BHLHE40,0.944054,0.943027,0.903219,0.887823,0.749926,0.799399,4834,4834,9668,4834,4766,9600,2803,1645,4448
ELK1,0.968037,0.966248,0.930389,0.922469,0.781994,0.830075,4518,4518,9036,4518,4446,8964,4178,3159,7337
NFIC,0.91875,0.908762,0.910555,0.899246,0.832693,0.858389,4469,4469,8938,4469,4469,8938,1907,1905,3812
MEF2C,0.971329,0.96455,0.956828,0.942891,0.717305,0.666631,3683,3683,7366,3683,3681,7364,1067,889,1956
MAX,0.968081,0.956938,0.912297,0.888259,0.730443,0.72887,3574,3574,7148,3574,3573,7147,2241,1850,4091
SRF,0.846671,0.806587,0.810398,0.77691,0.606306,0.511094,3515,3499,7014,3515,3461,6976,1063,892,1955
ZNF143,0.992562,0.993381,0.974138,0.971013,0.934139,0.953585,3399,3397,6796,3399,3363,6762,2264,1899,4163
IRF4,0.936422,0.895939,0.92851,0.905829,0.697669,0.657994,3100,3100,6200,3100,3095,6195,1712,1670,3382
ZBTB33,0.947815,0.906537,0.945727,0.901496,0.839475,0.811994,2946,2911,5857,2946,2815,5761,2405,2034,4439
NFYA,0.99333,0.991672,0.976942,0.957098,0.894293,0.873536,2401,2401,4802,2401,2400,4801,2210,2170,4380
ETS1,0.963426,0.966589,0.911168,0.89521,0.771158,0.77652,2150,2150,4300,2150,2150,4300,1981,1973,3954
RFX5,0.969089,0.968871,0.952516,0.947199,0.786846,0.806151,2074,2074,4148,2074,2071,4145,1459,1431,2890
STAT3,0.898423,0.882431,0.922203,0.904211,0.692763,0.68783,1324,1324,2648,1324,1324,2648,676,676,1352
JUND,0.906524,0.909717,0.900965,0.922291,0.829718,0.868726,1279,1279,2558,1279,1279,2558,882,880,1762
CEBPB,0.945971,0.92873,0.979988,0.981355,0.5875,0.384067,775,775,1550,775,775,1550,337,334,671
STAT1,0.982143,0.981151,0.994048,0.99359,0.71875,0.855258,219,219,438,219,219,438,110,110,220
FOS,0.919643,0.882143,1,1,1,1,91,91,182,91,91,182,80,80,160
